8931	 	2
28298	 	3
87886	一万	17
43668	一万一千	2
36509	一万两千	2
21020	一万个	3
54929	一万二千	2
27546	一万五千	3
13872	一万五千两	2
11344	一万五千名	2
40190	一万余	3
39096	一万元	6
97360	一万四千	3
38212	一万多	5
97137	一万多两	2
38548	一万年	8
38459	一万张	2
87890	一丈	11
87888	一上	3
87889	一下	125
58912	一下子	14
104732	一不小心	2
87897	一丑	2
87898	一世	69
79528	一丛	3
25368	一丛丛	6
87905	一东	3
87906	一丝	8
56290	一丝不苟	6
87908	一两	2
113447	一两个	5
112133	一两件	2
110460	一两声	2
110302	一两天	3
93306	一两年	6
108542	一两次	3
70525	一两百万	2
87910	一个	999
74405	一个三十	2
74068	一个三层	2
84363	一个个	38
86726	一个半	25
86675	一个双	2
101482	一个名	4
34079	一个多	47
74860	一个多元	2
86522	一个多月	8
89037	一个月	61
87747	一个样	2
90346	一个班	2
102642	一个男孩	2
91112	一个系列	3
109339	一个集	26
87917	一中	7
44681	一中全会	4
87918	一串	15
29601	一串串	7
87925	一丸	7
87923	一为	19
87924	一主	2
41782	一主三仆	2
87073	一举	52
21976	一举一动	3
105257	一举两得	3
84209	一举千里	2
112782	一举成名	6
63747	一乌岩	2
76382	一乘	3
32677	一九九	2
11451	一九九七	3
86129	一九九三年	3
92221	一九九二年	4
100556	一九九五年	2
68165	一九九四年	2
49910	一九五三年	2
38640	一九五五年	2
89153	一九八七年	3
21440	一九八五年	2
103090	一九八六年	4
10848	一九六二年	2
102314	一九六五年	2
45308	一九六四年	2
32410	一九叁	2
107410	一九四七年	2
105873	一九四九年	4
78686	一九四二	10
87943	一书	26
25905	一书中	15
69748	一书厅	2
65841	一书载	2
87961	一事	23
51339	一事无成	2
87964	一二	5
46800	一二三四	2
83110	一二八	2
106970	一二分钟	2
103200	一二十年	3
82560	一二层	2
59976	一二节	2
87971	一五	3
87972	一井	3
87973	一些	548
108831	一些则	6
87981	一亩	4
79903	一亭	9
87986	一人	80
21852	一人字	3
