65155		2
40815	!	77
84976	....	3
27170	.....	5
79944	.......	2
72216	0.002	2
44311	0.01	10
43522	0.0110	2
58726	0.02	6
104860	0.03	5
58731	0.04	3
58732	0.05	7
102266	0.053	2
16979	0.056	2
58729	0.06	7
58730	0.07	7
58721	0.08	6
7767	0.084	2
58722	0.09	3
126863	0.1	28
116006	0.10	6
35424	0.11	2
11993	0.1131	2
35427	0.12	6
93967	0.123	2
93938	0.128	2
90049	0.13	6
86912	0.131	2
35421	0.14	10
35420	0.15	5
90039	0.16	2
70984	0.1625	2
35422	0.17	4
35429	0.18	7
56474	0.1818	2
90066	0.19	3
122433	0.2	42
106420	0.20	2
106421	0.21	2
106422	0.22	6
106423	0.23	3
22581	0.241	2
106418	0.25	15
106419	0.27	2
106415	0.28	3
106416	0.29	3
118759	0.3	42
82221	0.31	2
15990	0.33	3
82218	0.34	5
82217	0.35	9
82216	0.36	4
82215	0.37	3
29833	0.377	2
49814	0.379	2
82214	0.38	7
119757	0.39	2
126867	0.4	35
91603	0.41	3
91601	0.42	3
91602	0.43	5
91599	0.44	11
36623	0.446	2
91600	0.45	6
114421	0.46	5
91598	0.47	3
91595	0.48	6
91596	0.49	2
65244	0.493	2
126866	0.5	73
33554	0.50	3
67752	0.51	2
67754	0.53	3
67757	0.54	4
19510	0.55	6
67749	0.59	4
118843	0.6	51
102892	0.605	2
59091	0.61	2
12667	0.62	4
12669	0.64	2
59137	0.65	2
12671	0.66	4
12672	0.67	3
12673	0.68	3
12674	0.69	2
18543	0.691	2
126868	0.7	37
116092	0.71	2
61560	0.72	4
116096	0.74	4
61578	0.75	12
113561	0.754	2
116094	0.76	3
116093	0.77	3
61593	0.78	3
118620	0.8	54
52130	0.804	2
90956	0.81	4
121312	0.82	4
110990	0.83	2
121317	0.84	4
122104	0.85	4
95675	0.857143	2
121867	0.86	2
66048	0.864	2
90961	0.87	8
121320	0.88	3
121321	0.89	3
126856	0.9	36
71362	0.901	2
95211	0.912	2
96671	0.92	2
96670	0.93	3
54639	0.94	13
96665	0.95	6
76676	0.96	6
57388	0.964	2
96667	0.97	2
80807	0.970	2
76657	0.98	6
11360	0.9863	2
76655	0.99	3
39203	00	233
68732	000	140
125318	000016	2
7086	000069	2
117568	0005	2
15006	000meters	2
39388	000mm	2
68731	001	10
93000	0016	2
68729	003	2
68736	004	3
19432	00491	2
38995	005	2
68734	006	4
108258	006.81	2
68733	007	11
68740	008	7
39204	01	107
45530	010	5
25085	011	4
88802	01146	2
32892	0117	2
104282	018	2
104357	019	3
39201	02	97
61766	02.00	2
22494	020	5
22495	023	4
22491	024	4
22493	026	4
11471	027	2
22499	028	3
22498	029	2
39202	03	87
127286	030	4
101619	031	3
127285	033	3
127290	034	4
124985	036	2
124987	037	3
39207	04	102
102278	040	2
102277	041	4
102276	042	4
30015	043	3
102274	045	2
102273	046	4
109799	048	3
39208	05	96
117577	050	3
94969	051	3
94971	052	3
78155	054	2
78156	055	3
78151	058	2
77572	0593	2
114302	06	98
54932	060	5
60238	063	2
54935	064	2
54937	066	5
48895	066200	2
80549	068	3
96912	07	89
31609	070	3
31610	071	3
31607	072	3
46842	0725	2
31605	074	2
31606	075	2
31603	076	5
66191	077	6
31614	078	3
63995	078.64	2
31615	079	2
39209	08	120
8865	080	2
8864	081	2
8868	084	5
8866	086	5
8861	088	2
39210	09	106
62901	09.99	2
112041	091	2
112043	093	3
100323	0937	2
112044	095	3
112045	097	4
20364	0RF1	2
20365	0RF2	2
61634	1.0	21
38383	1.005	2
82383	1.01	3
82385	1.02	8
82384	1.03	7
120941	1.04	8
82386	1.05	14
82389	1.06	8
94864	1.067	2
120946	1.07	4
82391	1.08	8
11033	1.095	2
61635	1.1	88
106601	1.10	6
71301	1.1123	2
106599	1.12	11
75122	1.128	2
106600	1.13	6
106597	1.14	9
106598	1.15	9
106595	1.16	7
48857	1.1695	2
106596	1.17	4
106605	1.18	5
106606	1.19	7
61636	1.2	190
3716	1.20	8
3715	1.21	9
3714	1.22	6
3713	1.23	7
3720	1.24	5
21747	1.25	6
3718	1.26	10
21740	1.27	4
3710	1.28	7
124101	1.3	86
26556	1.30	4
26557	1.31	6
26558	1.32	8
92961	1.326	2
26559	1.33	3
26560	1.34	10
35556	1.35	14
35558	1.36	5
35562	1.37	10
123771	1.3747	2
22194	1.377	2
98871	1.3774	2
35521	1.38	4
35524	1.39	4
61630	1.4	130
49654	1.40	5
49653	1.41	4
49656	1.42	3
49655	1.43	7
118093	1.433	2
49650	1.44	4
79156	1.45	5
49651	1.47	8
49646	1.48	6
49645	1.49	4
61631	1.5	245
72980	1.50	6
72981	1.51	2
7259	1.525	2
72979	1.53	4
72983	1.54	5
72984	1.55	10
72982	1.56	5
72985	1.58	5
39864	1.5805	2
61632	1.6	74
77756	1.60	6
76105	1.61	11
89966	1.618	2
48468	1.62	2
96841	1.63	5
63842	1.64	5
96839	1.65	7
77735	1.66	8
20199	1.665	2
96837	1.67	4
96847	1.68	8
96846	1.69	9
61633	1.7	81
101344	1.71	4
121532	1.72	6
121533	1.73	5
103822	1.733	2
49821	1.7387	2
92085	1.74	6
87920	1.7428	2
121527	1.75	11
121096	1.77	5
121537	1.79	2
61639	1.8	113
21798	1.80	2
21800	1.82	5
7176	1.83	5
21802	1.84	8
21801	1.85	7
21804	1.86	5
116103	1.866	2
21803	1.87	6
21795	1.88	2
21794	1.89	2
61640	1.9	60
44793	1.91	3
20911	1.93	3
44788	1.94	4
44789	1.95	5
44787	1.97	4
44784	1.98	2
44785	1.99	4
119597	10	1012
57591	10.00	2
57592	10.01	2
57587	10.09	3
74303	10.1	19
81034	10.15	2
79957	10.1867	2
46159	10.2	26
123307	10.3	27
34297	10.31	6
82924	10.33	2
124697	10.35	2
124684	10.36	2
34302	10.39	2
8183	10.4	14
25109	10.43	2
25105	10.46	2
8182	10.5	25
41335	10.51	2
48259	10.54	2
48258	10.55	3
48261	10.56	2
48266	10.59	2
8185	10.6	24
105153	10.60	2
127580	10.62	2
105149	10.64	2
105152	10.67	4
74393	10.7	19
42115	10.712	2
2302	10.74	2
2301	10.76	2
8187	10.8	19
125023	10.84	4
125026	10.89	2
8186	10.9	5
126949	10.90	3
20582	10.93	3
20583	10.94	3
20584	10.96	3
71739	10.966	2
38700	100	586
47008	100.1	2
30104	100.49	2
47005	100.8	2
